paris;0;5;0
paris;5;5;0
a86;5;5;0
n104;5;5;0
paris;10;5;0
a86;10;5;0
n104;10;5;0
paris;0;5;1
paris;5;5;1
a86;5;5;1
n104;5;5;1
paris;10;5;1
a86;10;5;1
n104;10;5;1
paris;0;5;2
paris;5;5;2
a86;5;5;2
n104;5;5;2
paris;10;5;2
a86;10;5;2
n104;10;5;2
paris;0;5;3
paris;5;5;3
a86;5;5;3
n104;5;5;3
paris;10;5;3
a86;10;5;3
n104;10;5;3
paris;0;5;4
paris;5;5;4
a86;5;5;4
n104;5;5;4
paris;10;5;4
a86;10;5;4
n104;10;5;4
paris;0;5;5
paris;5;5;5
a86;5;5;5
n104;5;5;5
paris;10;5;5
a86;10;5;5
n104;10;5;5
paris;0;5;6
paris;5;5;6
a86;5;5;6
n104;5;5;6
paris;10;5;6
a86;10;5;6
n104;10;5;6
paris;0;5;7
paris;5;5;7
a86;5;5;7
n104;5;5;7
paris;10;5;7
a86;10;5;7
n104;10;5;7
paris;0;5;8
paris;5;5;8
a86;5;5;8
n104;5;5;8
paris;10;5;8
a86;10;5;8
n104;10;5;8
paris;0;5;9
paris;5;5;9
a86;5;5;9
n104;5;5;9
paris;10;5;9
a86;10;5;9
n104;10;5;9
